date, pm25, pm10, o3, no2, so2, co
2023/11/18, 105, 42, 45, , 7, 
2023/11/19, 96, 44, 61, , 8, 
2023/11/20, 93, 26, 54, , 6, 
2023/11/21, 63, 36, 53, , 8, 
2023/11/22, 78, 29, 20, , 7, 
2023/11/23, 76, 32, 31, , 6, 
2023/11/24, 80, 41, 40, , 8, 
2023/11/25, 93, 53, 44, , 8, 
2023/11/26, 121, 43, 46, , 7, 
2023/11/27, 105, 43, 14, , 9, 
2023/11/28, 106, 39, 41, , 8, 
2023/11/29, 90, 41, 29, , 8, 
2023/11/30, 90, 30, 25, , 6, 
2023/12/1, 70, 29, 22, , 5, 
2023/12/2, 75, 38, 34, , 7, 
2023/12/3, 93, 27, 13, , 5, 
2023/12/4, 67, 15, 4, , 5, 
2023/12/5, 41, 15, 20, , 5, 
2023/12/6, 39, 20, 23, , 6, 
2023/12/7, 49, 13, 14, , 5, 
2023/12/8, 33, 35, 33, , 6, 
2023/12/9, 75, 42, 38, , 9, 
2023/12/10, 85, 36, 34, , 6, 
2023/12/11, 72, 26, 20, , 6, 
2023/12/12, 55, 21, 33, , 7, 
2023/12/13, 53, 34, 23, , 7, 
2023/12/14, 78, 40, 27, , 8, 
2023/12/15, 85, 35, 27, , 5, 
2023/12/16, 71, 30, 31, , 4, 
2023/12/17, 63, 31, 39, , 8, 
2023/12/18, 66, 48, 46, , 6, 
2023/12/19, 95, 42, 8, , 6, 
2023/12/20, 101, 18, 16, , 7, 
2023/12/21, 91, 56, 58, , 8, 
2023/12/22, 103, 56, 26, , 8, 
2023/12/23, 112, 75, 1, , 12, 
2023/12/24, 131, , , , , 
2023/12/26, 60, 19, 26, , 5, 
2023/12/27, 48, 22, 2, , 6, 
2023/12/28, 57, 35, 40, , 8, 
2023/12/29, 71, 36, 47, , 7, 
2023/12/30, 80, 39, 43, , 6, 
2023/12/31, 81, 51, 48, , 9, 
2024/1/1, 107, 24, 9, , 9, 
2023/7/2, 79, 20, , , 5, 
2023/7/3, 49, 34, , , 6, 
2023/7/4, 73, 38, , , 5, 
2023/7/5, 84, 32, , , 6, 
2023/7/6, 78, 40, , , 7, 
2023/7/7, 90, 40, , , 8, 
2023/7/8, 82, , , , , 
2023/7/18, 113, 45, , , 8, 
2023/7/19, 91, 40, , , 4, 
2023/7/20, 85, 42, , , 5, 
2023/7/21, 98, 43, , , 4, 
2023/7/22, 88, 28, , , 6, 
2023/7/23, 65, 28, , , 6, 
2023/7/24, 65, 26, , , 6, 
2023/7/25, 61, 27, , , 6, 
2023/7/26, 66, 27, , , 5, 
2023/7/27, 62, 30, , , 6, 
2023/7/28, 71, 29, , , 6, 
2023/7/29, 64, , , , , 
2023/8/2, 68, 31, , , 6, 
2023/8/3, 76, 26, , , 5, 
2023/8/4, 70, 26, , , 7, 
2023/8/5, 61, 21, , , 4, 
2023/8/6, 52, 29, , , 6, 
2023/8/7, 64, 22, , , 4, 
2023/8/8, 48, , , , , 
2023/8/15, 79, 36, 37, , 6, 
2023/8/16, 77, 33, 38, , 5, 
2023/8/17, 73, 27, 34, , 6, 
2023/8/18, 67, 25, 34, , 8, 
2023/8/19, 55, 21, 37, , 5, 
2023/8/20, 46, 20, 29, , 4, 
2023/8/21, 47, , , , , 
2023/8/23, 91, 40, 44, , 5, 
2023/8/24, 81, 22, 23, , 7, 
2023/8/25, 52, 36, 41, , 6, 
2023/8/26, 71, 26, 42, , 3, 
2023/8/27, 57, 33, 39, , 5, 
2023/8/28, 74, 29, 45, , 6, 
2023/8/29, 64, 39, 51, , 7, 
2023/8/30, 73, 44, 55, , 5, 
2023/8/31, 85, 35, 49, , 5, 
2023/9/1, 60, 38, 53, , 5, 
2023/9/2, 73, 33, 63, , 7, 
2023/9/3, 76, 38, 59, , 7, 
2023/9/4, 80, 35, 61, , 7, 
2023/9/5, 79, 39, 55, , 6, 
2023/9/6, 80, 28, 48, , 6, 
2023/9/7, 68, 29, 76, , 5, 
2023/9/8, 58, , , , , 
2023/9/11, 82, 36, 51, , 7, 
2023/9/12, 82, 37, 57, , 6, 
2023/9/13, 82, 34, 30, , 7, 
2023/9/14, 71, 44, 68, , 6, 
2023/9/15, 100, 46, 62, , 7, 
2023/9/16, 97, 33, 65, , 5, 
2023/9/17, 71, 24, 43, , 5, 
2023/9/18, 49, 37, 50, , 6, 
2023/9/19, 76, 43, 51, , 5, 
2023/9/20, 78, 35, 72, , 7, 
2023/9/21, 72, 39, 51, , 5, 
2023/9/22, 78, 39, 60, , 5, 
2023/9/23, 83, 34, 32, , 5, 
2023/9/24, 70, , , , , 
2023/9/26, 94, 35, 50, , 6, 
2023/9/27, 82, 38, 47, , 5, 
2023/9/28, 80, 36, 61, , 6, 
2023/9/29, 80, 44, 64, , 6, 
2023/9/30, 88, 41, 42, , 6, 
2023/10/1, 82, 49, 15, , 11, 
2023/4/3, 107, 59, , , 7, 
2023/4/4, 147, 50, , , 7, 
2023/4/5, 132, 51, , , 6, 
2023/4/6, 130, 48, , , 6, 
2023/4/7, 123, 55, , , 6, 
2023/4/8, 120, 45, , , 4, 
2023/4/9, 109, 39, , , 6, 
2023/4/10, 96, 53, , , 7, 
2023/4/11, 131, 52, , , 6, 
2023/4/12, 124, 47, , , 6, 
2023/4/13, 125, 54, , , 6, 
2023/4/14, 139, 53, , , 6, 
2023/4/15, 134, 37, , , 7, 
2023/4/16, 100, 41, , , 7, 
2023/4/17, 105, 62, , , 8, 
2023/4/18, 138, 35, , , 5, 
2023/4/19, 100, 42, , , 7, 
2023/4/20, 106, 57, , , 7, 
2023/4/21, 139, 52, , , 8, 
2023/4/22, 137, 52, , , 7, 
2023/4/23, 135, 43, , , 8, 
2023/4/24, 109, 47, , , 6, 
2023/4/25, 120, 59, , , 6, 
2023/4/26, 127, 39, , , 7, 
2023/4/27, 106, 54, , , 7, 
2023/4/28, 135, 55, , , 6, 
2023/4/29, 137, 53, , , 7, 
2023/4/30, 117, 65, , , 7, 
2023/5/1, 154, 60, , , 8, 
2023/5/2, 156, 64, , , 5, 
2023/5/3, 148, 70, , , 8, 
2023/5/4, 157, 77, , , 7, 
2023/5/5, 172, 77, , , 8, 
2023/5/6, 160, , , , , 
2023/5/8, 123, 53, , , 3, 
2023/5/9, 135, 49, , , 5, 
2023/5/10, 133, 54, , , 5, 
2023/5/11, 141, 43, , , 6, 
2023/5/12, 122, 46, , , 7, 
2023/5/13, 127, 54, , , 5, 
2023/5/14, 143, 57, , , 8, 
2023/5/15, 130, 49, , , 7, 
2023/5/16, 121, 56, , , 8, 
2023/5/17, 138, 45, , , 7, 
2023/5/18, 109, 47, , , 7, 
2023/5/19, 112, 66, , , 8, 
2023/5/20, 150, 42, , , 7, 
2023/5/21, 98, 34, , , 6, 
2023/5/22, 80, 57, , , 7, 
2023/5/23, 124, 50, , , 8, 
2023/5/24, 123, 52, , , 8, 
2023/5/25, 137, 47, , , 7, 
2023/5/26, 125, 39, , , 8, 
2023/5/27, 111, , , , , 
2023/5/29, 116, 46, , , 6, 
2023/5/30, 111, 45, , , 7, 
2023/5/31, 110, 48, , , 6, 
2023/6/1, 130, 50, , , 6, 
